Visualizacoes;Like;Deslikes;Like Comentarios;Qtd Caracteres;Codigo;Opiniao;Emoji ;Densidade semantica;Dificuldade;Tristeza;Alegria;Medo;Aversao;Raiva;Pontuacao;Resultado
305.775;18000;37;1;135;;1;;3;2;;1.0;;;;1.0;1
305.775;18000;37;;61;;1;;2;3;;0.625;;;;0.625;1
305.775;18000;37;;61;;1;;3;2;;0.625;;;;0.625;1
305.775;18000;37;;69;;1;;2;3;;1.0;;;;1.0;1
305.775;18000;37;;69;;1;;3;2;;1.0;;;;1.0;1
305.775;18000;37;;85;;1;;2;3;;0.7875;;;;0.7875;1
305.775;18000;37;;85;;1;;3;2;;0.7875;;;;0.7875;1
305.775;18000;37;;45;;1;;2;3;;1.0;;;;1.0;1
305.775;18000;37;;45;;1;;3;2;;1.0;;;;1.0;1
305.775;18000;37;;60;;1;;2;3;;0.3125;;;;0.3125;1
305.775;18000;37;;60;;1;;3;2;;0.3125;;;;0.3125;1
305.775;18000;37;;93;;1;;2;3;;1.0;;;;1.0;1
305.775;18000;37;;93;;1;;3;2;;1.0;;;;1.0;1
305.775;18000;37;;381;;1;;2;3;;0.93125;;;;0.93125;1
305.775;18000;37;;381;;1;;3;2;;0.93125;;;;0.93125;1
305.775;18000;37;;90;;1;;2;3;;0.9375;;;;0.9375;1
305.775;18000;37;;90;;1;;3;2;;0.9375;;;;0.9375;1
305.775;18000;37;2;61;;1;;2;3;;0.7875;;;;0.7875;1
305.775;18000;37;2;61;;1;;3;2;;0.7875;;;;0.7875;1
305.775;18000;37;1;76;;1;;2;3;;0.875;;;;0.875;1
